,text
198,"Great meeting with @AmbHerzog to discuss many topics.
 
Truly appreciate Israel’s support for today’s UN resolution condemning Russia’s aggression against Ukraine. I am pleased Israel is helping Ukraine in a very robust manner. https://t.co/EAnQHfqT24"
199,"RT @JoeKhalilTV: Senator @LindseyGrahamSC speaking now with Congresswoman @RepSpartz, native Ukrainian, focused on condemning Vladimir Puti…"
200,"RT @wpdeabc15: WATCH LIVE: Sen. Lindsey Graham discusses Senate resolution for Russia-Ukraine war

https://t.co/TVdkJpLYLf"
201,RT @wyffnews4: Sen. Lindsey Graham speaks about war crimes https://t.co/DXgtAFKkgj
202,RT @NewsHour: WATCH LIVE: Sen. Lindsey Graham holds news briefing on Russia and Ukraine https://t.co/JIoO74w1zw
203,RT @NewsPlayerPlus: On https://t.co/wrYHBbPfcR : WATCH LIVE: Sen. Lindsey Graham holds news briefing on Russia and Ukraine https://t.co/eyk…
204,"11:30 PRESS CONFERENCE

⏯️ WATCH:
https://t.co/FBJWqMoUGB"
205,"🔔 UPDATED

@RepSpartz will join to discuss resolution calling for Vladimir Putin and his regime to be held accountable for the numerous acts of war, aggression, and human rights abuses that have been conducted under his watch. 

⏲️:  11:30 AM
📍:  Senate Radio-TV Gallery"
206,"🔔 🔔 🔔 

Press conference today on Senate resolution calling for Vladimir Putin and his regime to be held accountable for the numerous acts of war, aggression, and human rights abuses that have been conducted under his watch. 

⏲️:  11:30 AM
📍:  Senate Radio-TV Gallery"
207,"Unfortunately, the state of our union is not good. https://t.co/Pxou2UrwR8"
