,text
139,"Thrilled to partner with @Goodreads and @FlatironBooks to give away 100 eBook copies of The #MomentofLift. I wrote this book to share the stories of people who have given focus and urgency to my life. I hope they do the same for you.
https://t.co/KoIJBKzCN2"
140,"Nutrition is fundamental to better health AND to an equitable COVID-19 recovery.

That’s why I’m proud to announce the @GatesFoundation’s plan to spend more than $922 million over the next five years on nutrition—our largest commitment in this area ever. #UNFSS2021 https://t.co/mT7UFA4ryK"
141,"Why has #PaidLeave generated such broad support? Probably because it solves a problem that is as universal as it gets.

Read more on Evoke. #CareCantWait https://t.co/q3URJDST1P"
142,"Congratulations to @PhuMlamboNgcuka on receiving the 2021 Global Goalkeeper Award! Phumzile is an inspiring and effective leader, a champion of the Sustainable Development Goals, and pulled off the #GenerationEquality Forum in a pandemic—no easy feat! https://t.co/elKQZ8Vgo5"
143,RT @TIME: .@melindagates: Our economy is powered by caregivers. That’s why it’s time for national paid leave https://t.co/PrkCiaQJuY
144,"Congratulations to Fairooz Faizah Beether, @JeniferColpas, and @SheriffSatta on their Goalkeepers awards!

I had so much fun surprising them and learning more about their work supporting the #GlobalGoals. https://t.co/t0eINHlKQx"
145,@gatesfoundation Women were hit hardest by the impacts of the COVID-19 pandemic. I will insist on accountability—for myself and others—for the commitments made to women and girls at the Generation Equality Forum in Paris earlier this year.
146,RT @UN_Women: Join @SimaBahous and @MelindaGates to learn about ‘Achieving gender equality – Women Powering the Economic Recovery’ at the @…
147,"Our caregiving system is broken—and it has been for a long time. 

I wrote in @TIME about why we need a national #PaidLeave policy. #CareCantWait  https://t.co/dOcFwODTSh"
148,It's not enough for us to rebuild the world as it was before the COVID-19 pandemic. We need to create one where women have power and are able to determine their own futures. https://t.co/71a7A0g7mc #Goalkeepers2030 https://t.co/973JtJaAuJ
149,"Dengue fever infects almost 400 million people each year. Dr. Adi Utarini has survived it twice. But dengue fever may not survive her.

I was proud to write about her groundbreaking efforts to combat this dangerous disease for #TIME100. https://t.co/IhBmNQmVDO"
150,"The world is full of what often seems like intractable problems. We can let those problems paralyze us, or we can let them spur us to action. That's what this year's #Goalkeepers2030 report is all about.
https://t.co/ucVXsUTZMb"
151,"#Goalkeepers2030 is here!

Learn more about the progress being made to end poverty, fight inequality, and stop climate change—while centering equity and the people most affected.  https://t.co/EFknRndvau"
152,RT @gatesfoundation: Progress is possible—but only if you create it. #Goalkeepers2030 https://t.co/mNavMAqsSi
153,"RT @19thnews: ""What’s more patriotic than to point out that everyone in the United States, including the women and people of color and LGBT…"
154,".@TaranaBurke started the #MeToo movement by encouraging survivors to tell their stories. In her new memoir, ""Unbound,"" she shares her own. This important book will be at the top of my list. https://t.co/b1fxXIqDM5"
155,"Let's make history! https://t.co/7YPNmD0onI

#PaidLeaveForAll https://t.co/zbdxNKlnTx"
156,"No one should have to choose between their paycheck and taking care of themselves or a loved one. 

Visit https://t.co/Q1O0NKcqhv to get in touch with your representatives and urge them to pass #PaidLeave as soon as possible. https://t.co/OS5ysgwcTi"
157,#PaidLeave can help speed our recovery and strengthen our economy for families and businesses. Congress has a once-in-a-generation chance to guarantee paid leave for all workers. Let's make sure they do! https://t.co/2QsxOSfIsS
158,"RT @dhuckelbridge: Paid leave is public health.
Paid leave is economic security and growth. 
Paid leave is time and care for our families.…"
159,"A strong #CareEconomy is good for kids, good for families, and good for businesses. #CareCantWait  https://t.co/eEAGK4Ew4X"
160,"RT @MaEllenSirleaf: My thoughts and prayers are with #Afghanistan's women and girls, whose future and safety now hang in the balance. Limit…"
161,RT @eqltycantwait: National #PaidLeave means no one has to choose between their paycheck &amp; their families during life's challenging moments…
162,"We cannot fully or equitably recover from this pandemic unless we recognize what this graph and others are telling us: Women around the world are still suffering disproportionately. And if we don’t invest now, they could get left behind. https://t.co/c2zGKsrTnh https://t.co/Z7EYo8IEfP"
163,"Congratulations to the winners of our Algebra 1 Grand Challenge! 

My high school math teacher taught me to code and changed the trajectory of my life. Your ideas to make math more relevant and accessible for students is going to change things for them, too. https://t.co/Ge84WGWKlP"
164,Everyone should have paid leave. Thank you to @PaidLeaveforAll for raising awareness and raising the volume. #PassPaidLeave https://t.co/eOujNMfaVy
